Riding,Seat,Winner,Party,Votes
Athabasca,1,Deakin Alexander Hall,Liberal,1329
Cut Knife,1,Andrew Macauley,Farmer-Labour Group,3268
Meadow Lake,1,Donald MacDonald,Liberal,4304
Rosthern,1,John Uhrich,Liberal,8179
Shellbrook,1,Omer Demers,Liberal,5238
The Battlefords,1,John Albert Gregory,Liberal,2653
Turtleford,1,Charles Ayre,Liberal,3411
Wilkie,1,John Jardine,Liberal,3702
Humboldt,1,James Hogan,Liberal,5345
Kelvington,1,George Ernest Dragan,Liberal,3567
Kinistino,1,John Taylor,Liberal,2772
Melfort,1,John D. MacFarlane,Liberal,3972
Prince Albert,1,Thomas C. Davis,Liberal,5474
Tisdale,1,Harvie J. Dorrance,Liberal,3425
Wadena,1,George Williams,Farmer-Labour Group,3890
Arm River,1,Gustaf Herman Danielson,Liberal,2222
Biggar,1,Robert Pelham Hassard,Liberal,2287
Elrose,1,John A. Wilson,Liberal,2213
Hanley,1,Charles Agar,Liberal,2843
Kerrobert,1,Donald Laing,Liberal,2651
Kindersley,1,Louis H. Hantelman,Farmer-Labour Group,2649
Rosetown,1,Neil McVicar,Liberal,2433
Thunder Creek,1,Robert S. Donaldson,Liberal,1608
Watrous,1,Bert Clement,Liberal,2362
Last Mountain,1,Guy Hartsel Hummel,Liberal,2732
Lumsden,1,Henry Phillip Mang,Liberal,2352
Melville,1,James G. Gardiner,Liberal,4989
Pelly,1,Reginald J.M. Parker,Liberal,4835
Pheasant Hills,1,Asmundur A. Loptson,Liberal,4310
Qu'Appelle-Wolseley,1,Frederick Middleton Dundas,Liberal,4130
Touchwood,1,John M. Parker,Liberal,3380
Yorkton,1,Vincent R. Smith,Liberal,3343
Gravelbourg,1,Benjamin F. McGregor,Liberal,3177
Gull Lake,1,H. Henry Kemper,Farmer-Labour Group,2404
Maple Creek,1,John Mildenberger,Liberal,3114
Moose Jaw County,1,Thomas Waddell,Liberal,2500
Morse,1,Neil J. MacDonald,Liberal,2717
Notukeu,1,George Spence,Liberal,2196
Shaunavon,1,Clarence Stork,Farmer-Labour Group,2061
Swift Current,1,Jim Taggart,Liberal,2531
Willow Bunch,1,Charles W. Johnson,Liberal,2448
Bromhead,1,Norman L. McLeod,Liberal,2416
Bengough,1,James Bidwell Smith,Liberal,2122
Cannington,1,William J. Patterson,Liberal,4222
Francis,1,Charles M. Dunn,Liberal,2504
Milestone,1,William Pedersen,Liberal,1991
Moosomin,1,Arthur T. Procter,Liberal,2812
Souris-Estevan,1,Jesse P. Tripp,Liberal,3536
Weyburn,1,Hugh E. Eaglesham,Liberal,2281
Moose Jaw City,1,William Gladstone Ross,Liberal,4928
Moose Jaw City,2,John Houston Laird,Liberal,4403
Saskatoon City,1,James Wilfred Estey,Liberal,9168
Saskatoon City,2,George Wesley Norman,Liberal,8670
Regina City,1,Percy McCuaig Anderson,Liberal,11564
Regina City,2,William Franklin Kerr,Liberal,11512
